rank,name,channel_Info,Posts,Followers,Avg__Likes,Eng_Rate,Category_Beauty_&_Makeup,Category_Craft/DIY,"Category_Health,_Sports_&_Fitness",Category_Lifestyle,Category_News_&_Politics,Category_entertainment,Category_fashion,Category_food,Category_photography,Category_technology
1,instagram,brand,7300,580100000000.0,7310.0,0.001,False,False,False,False,False,False,False,False,True,False
2,cristiano,male,3400,519900000000.0,3410.0,0.013999999999999999,False,False,True,False,False,False,False,False,False,False
3,leomessi,male,1000,403700000000.0,970.0,0.017,False,False,True,False,False,False,False,False,False,False
4,kyliejenner,female,7000,375900000000.0,7020.0,0.017,False,False,False,False,False,True,False,False,False,False
5,selenagomez,female,1800,365300000000.0,1850.0,0.011000000000000001,False,False,False,False,False,True,False,False,False,False
6,therock,male,7000,354300000000.0,7030.0,0.003,False,False,False,False,False,True,False,False,False,False
7,arianagrande,female,5000,345600000000.0,4980.0,0.013999999999999999,False,False,False,False,False,True,False,False,False,False
8,kimkardashian,female,5700,336300000000.0,5730.0,0.009000000000000001,False,False,False,False,False,True,False,False,False,False
9,beyonce,female,2100,287300000000.0,2050.0,0.01,False,False,False,False,False,True,False,False,False,False
10,khloekardashian,female,4200,283900000000.0,4190.0,0.005,False,False,False,False,False,True,False,False,False,False
11,justinbieber,male,7400,270200000000.0,7390.0,0.005,False,False,False,False,False,True,False,False,False,False
12,nike,brand,1000,257600000000.00003,1030.0,0.001,False,False,True,False,False,False,False,False,False,False
13,taylorswift,male,562000,236200000000.0,1000.0,0.013000000000000001,False,False,False,False,False,True,False,False,False,False
14,jlo,female,220000,228800000000.0,220000.0,0.005,False,False,False,False,False,True,False,False,False,False
17,natgeo,brand,26700,220600000000.0,26710.0,0.001,False,False,False,False,False,True,False,False,False,False
18,nickiminaj,female,6400,206800000000.0,6440.0,0.008,False,False,False,False,False,True,False,False,False,False
19,kourtneykardash,female,4400,206200000000.0,4420.0,0.008,False,False,False,False,False,True,False,False,False,False
21,neymarjr,male,5400,196200000000.0,5390.0,0.015,False,False,True,False,False,False,False,False,False,False
23,mileycyrus,female,1200,189900000000.0,1180.0,0.005,False,False,False,False,False,True,False,False,False,False
24,katyperry,female,2100,179800000000.0,2090.0,0.003,False,False,False,False,False,True,False,False,False,False
25,zendaya,female,3500,161800000000.0,3540.0,0.040999999999999995,False,False,False,False,False,True,False,False,False,False
26,kevinhart4real,male,8400,157600000000.0,8400.0,0.002,False,False,False,False,False,True,False,False,False,False
27,iamcardib,male,1600,145600000000.0,1650.0,0.018000000000000002,False,False,False,False,False,True,False,False,False,False
28,ddlovato,female,68000,143500000000.0,68000.0,0.003,False,False,False,False,False,True,False,False,False,False
29,badgalriri,female,4900,139200000000.0,4860.0,0.027000000000000003,False,False,False,False,False,True,False,False,False,False
30,kingjames,male,2400,139200000000.0,2410.0,0.009000000000000001,False,False,True,False,False,False,False,False,False,False
31,champagnepapi,male,297000,127600000000.0,297000.0,0.012,False,False,False,False,False,True,False,False,False,False
32,theellenshow,female,10700,127100000000.0,10750.0,0.001,False,False,False,False,False,True,False,False,False,False
33,chrisbrownofficial,male,7500,125500000000.0,7450.0,0.003,False,False,False,False,False,True,False,False,False,False
34,realmadrid,community,6500,120900000000.0,6530.0,0.006,False,False,True,False,False,False,False,False,False,False
35,fcbarcelona,community,17600,113600000000.0,17560.0,0.008,False,False,True,False,False,False,False,False,False,False
36,billieeilish,female,737000,107400000000.0,737000.0,0.059000000000000004,False,False,False,False,False,True,False,False,False,False
37,championsleague,male,18900,99900000000.0,18950.0,0.004,False,False,True,False,False,False,False,False,False,False
38,gal_gadot,male,1700,91600000000.0,1710.0,0.012,False,False,False,False,False,True,False,False,False,False
39,dualipa,female,1400,87500000000.0,1390.0,0.024,False,False,False,False,False,True,False,False,False,False
40,k.mbappe,male,1200,87200000000.0,1200.0,0.034,False,False,True,False,False,False,False,False,False,False
41,nasa,community,3700,85800000000.0,3690.0,0.011000000000000001,False,False,False,False,False,False,False,False,False,True
42,lalalalisa_m,female,900,85500000000.0,930.0,0.081,False,False,False,False,False,True,False,False,False,False
43,vindiesel,male,1800,84900000000.0,1840.0,0.012,False,False,False,False,False,True,False,False,False,False
44,priyankachopra,female,3600,83900000000.0,3610.0,0.012,False,False,False,False,False,True,False,False,False,False
45,khaby00,male,317000,80200000000.0,317000.0,0.081,False,False,False,False,False,True,False,False,False,False
46,shakira,female,2000,77700000000.0,2040.0,0.01,False,False,False,False,False,True,False,False,False,False
